,actual,predicted,difference
0,no,no,0
1,yes,yes,0
2,yes,yes,0
3,no,no,0
4,no,no,0
5,no,no,0
6,yes,yes,0
7,no,no,0
8,no,no,0
9,no,no,0
10,no,no,0
11,no,no,0
12,no,no,0
13,no,no,0
14,no,no,0
15,yes,yes,0
16,yes,yes,0
17,no,no,0
18,no,no,0
19,yes,yes,0
20,no,no,0
21,no,no,0
22,yes,no,1
23,no,no,0
24,yes,yes,0
25,no,no,0
26,no,no,0
27,no,no,0
28,no,no,0
29,no,no,0
30,no,no,0
31,no,no,0
32,no,no,0
33,no,no,0
34,no,no,0
35,no,no,0
36,no,no,0
37,no,no,0
38,no,no,0
39,no,no,0
40,no,no,0
41,no,no,0
42,no,no,0
43,no,no,0
44,no,no,0
45,no,no,0
46,no,no,0
47,no,no,0
48,no,no,0
49,no,no,0
50,no,no,0
51,no,no,0
52,no,no,0
53,no,no,0
54,no,no,0
55,no,no,0
56,no,no,0
57,no,no,0
58,no,no,0
59,no,no,0
60,no,no,0
61,no,no,0
62,no,no,0
63,no,no,0
64,no,no,0
65,no,no,0
66,no,no,0
67,no,no,0
68,no,no,0
69,no,no,0
70,no,no,0
71,no,no,0
72,no,no,0
73,no,no,0
74,no,no,0
75,no,no,0
76,no,no,0
77,no,no,0
78,no,no,0
79,no,no,0
80,no,no,0
81,no,no,0
82,no,no,0
83,no,no,0
84,no,no,0
85,no,no,0
86,no,no,0
87,no,no,0
88,no,no,0
89,no,no,0
90,no,no,0
91,no,no,0
92,no,no,0
93,no,no,0
94,no,no,0
95,no,no,0
96,no,no,0
97,no,no,0
98,no,no,0
99,no,no,0
100,no,no,0
101,no,no,0
102,no,no,0
103,no,no,0
104,no,no,0
105,no,no,0
106,no,no,0
107,no,no,0
108,no,no,0
109,no,no,0
110,no,no,0
111,no,no,0
112,no,no,0
113,no,no,0
114,no,no,0
115,no,no,0
116,no,no,0
117,no,no,0
118,no,no,0
119,no,no,0
120,no,no,0
121,no,no,0
122,no,no,0
123,no,no,0
124,no,no,0
125,no,no,0
126,no,no,0
127,no,no,0
128,no,no,0
129,no,no,0
130,no,no,0
131,no,no,0
132,no,no,0
133,no,no,0
134,no,no,0
135,no,no,0
136,no,no,0
137,no,no,0
138,no,no,0
139,no,no,0
140,no,no,0
141,no,no,0
142,no,no,0
143,no,no,0
144,no,no,0
145,no,no,0
146,no,no,0
147,no,no,0
148,no,no,0
149,no,no,0
150,no,no,0
151,no,no,0
152,no,no,0
153,no,no,0
154,no,no,0
155,no,no,0
156,no,no,0
157,no,no,0
158,no,no,0
159,no,no,0
160,no,no,0
161,no,no,0
162,no,no,0
163,no,no,0
164,no,no,0
165,no,no,0
166,no,no,0
167,no,no,0
168,no,no,0
169,no,no,0
170,no,no,0
171,no,no,0
172,no,no,0
173,no,no,0
174,no,no,0
175,no,no,0
176,no,no,0
177,no,no,0
178,no,no,0
179,no,no,0
180,no,no,0
181,no,no,0
182,no,no,0
183,no,no,0
184,no,no,0
185,no,no,0
186,no,no,0
187,no,no,0
188,no,no,0
189,no,no,0
190,no,no,0
191,no,no,0
192,no,no,0
193,no,no,0
194,no,no,0
195,no,no,0
196,no,no,0
197,no,no,0
198,no,no,0
199,no,no,0
200,no,no,0
201,no,no,0
202,no,no,0
203,no,no,0
204,no,no,0
205,no,no,0
206,no,no,0
207,no,no,0
208,no,no,0
209,no,no,0
210,no,no,0
211,no,no,0
212,no,no,0
213,no,no,0
214,no,no,0
215,no,no,0
216,no,no,0
217,no,no,0
218,no,no,0
219,no,no,0
220,no,no,0
221,no,no,0
222,no,no,0
223,no,no,0
224,no,no,0
225,no,no,0
226,no,no,0
227,no,no,0
228,no,no,0
229,no,no,0
230,no,no,0
231,no,no,0
232,no,no,0
233,no,no,0
234,no,no,0
235,no,no,0
236,no,no,0
237,no,no,0
238,no,no,0
239,no,no,0
240,no,no,0
241,no,no,0
242,no,no,0
243,no,no,0
244,no,no,0
245,no,no,0
246,no,no,0
247,no,no,0
248,no,no,0
249,no,no,0
250,no,no,0
251,no,no,0
252,no,no,0
253,no,no,0
254,no,no,0
255,no,no,0
256,no,no,0
257,no,no,0
258,no,no,0
259,no,no,0
260,no,no,0
261,no,no,0
262,no,no,0
263,no,no,0
264,no,no,0
265,no,no,0
266,no,no,0
267,no,no,0
268,no,no,0
269,no,no,0
270,no,no,0
271,no,no,0
272,no,no,0
273,no,no,0
274,no,no,0
275,no,no,0
276,no,no,0
277,no,no,0
278,no,no,0
279,no,yes,1
280,yes,yes,0
281,yes,yes,0
282,yes,yes,0
283,no,no,0
284,no,no,0
285,no,no,0
286,no,no,0
287,no,no,0
288,no,no,0
289,no,no,0
290,no,no,0
291,no,no,0
292,no,no,0
293,no,no,0
294,no,no,0
295,no,no,0
296,no,no,0
297,no,no,0
298,no,no,0
299,yes,no,1
300,no,no,0
301,no,no,0
302,no,no,0
303,no,no,0
304,no,no,0
305,yes,yes,0
306,no,no,0
307,no,no,0
308,no,no,0
309,no,no,0
310,no,no,0
311,no,no,0
312,no,no,0
313,no,no,0
314,no,no,0
315,no,no,0
316,yes,yes,0
317,no,no,0
318,no,no,0
319,no,no,0
320,no,no,0
321,no,no,0
322,yes,yes,0
323,yes,yes,0
324,yes,yes,0
325,yes,no,1
326,no,no,0
327,yes,yes,0
328,yes,yes,0
329,no,no,0
330,yes,yes,0
331,no,no,0
332,yes,yes,0
333,yes,yes,0
334,yes,yes,0
335,yes,yes,0
336,yes,yes,0
337,yes,yes,0
338,yes,yes,0
339,yes,yes,0
340,yes,yes,0
341,yes,yes,0
342,yes,yes,0
343,yes,yes,0
344,yes,yes,0
345,yes,yes,0
346,yes,yes,0
347,yes,yes,0
348,no,yes,1
349,no,no,0
350,no,yes,1
351,no,no,0
352,no,no,0
353,no,no,0
354,no,no,0
355,no,no,0
356,yes,yes,0
357,no,no,0
358,yes,yes,0
359,yes,yes,0
360,no,no,0
361,no,no,0
362,yes,yes,0
363,yes,yes,0
364,yes,yes,0
365,no,no,0
366,yes,yes,0
367,yes,yes,0
368,yes,yes,0
369,yes,yes,0
370,yes,yes,0
371,no,no,0
372,yes,yes,0
373,yes,yes,0
374,no,no,0
375,no,no,0
376,no,no,0
377,no,no,0
378,no,no,0
379,no,no,0
380,no,no,0
381,no,no,0
382,no,no,0
383,no,no,0
384,no,no,0
385,no,no,0
386,no,no,0
387,no,no,0
388,no,no,0
389,no,no,0
390,no,no,0
391,no,no,0
392,no,no,0
393,no,no,0
394,no,no,0
395,no,no,0
396,no,no,0
397,no,no,0
398,no,no,0
399,no,no,0
400,no,no,0
401,no,no,0
402,no,no,0
403,no,no,0
404,no,no,0
405,no,no,0
406,no,no,0
407,no,no,0
408,no,no,0
409,no,no,0
410,no,no,0
411,no,no,0
412,no,no,0
413,no,no,0
414,no,no,0
415,no,no,0
416,no,yes,1
417,yes,yes,0
418,yes,yes,0
419,yes,no,1
420,no,yes,1
421,yes,yes,0
422,yes,yes,0
423,yes,yes,0
424,yes,yes,0
425,yes,yes,0
426,yes,yes,0
427,yes,yes,0
428,yes,yes,0
429,no,no,0
430,no,no,0
431,yes,yes,0
432,yes,yes,0
433,no,no,0
434,yes,yes,0
435,no,no,0
436,no,no,0
437,no,no,0
438,no,no,0
439,no,no,0
440,no,no,0
441,no,no,0
442,no,no,0
443,no,no,0
444,no,no,0
445,no,no,0
446,no,no,0
447,yes,yes,0
448,no,no,0
449,yes,yes,0
450,yes,yes,0
451,no,no,0
452,yes,yes,0
453,no,no,0
454,no,no,0
455,no,no,0
456,no,no,0
457,yes,yes,0
458,yes,yes,0
459,yes,yes,0
460,yes,yes,0
461,yes,yes,0
462,yes,yes,0
463,no,no,0
464,no,no,0
465,no,no,0
466,no,no,0
467,no,no,0
468,no,no,0
469,no,no,0
470,no,no,0
471,no,yes,1
472,no,no,0
473,no,no,0
474,yes,yes,0
475,no,no,0
476,yes,yes,0
477,yes,yes,0
478,yes,yes,0
479,yes,yes,0
480,yes,yes,0
481,yes,yes,0
482,yes,yes,0
483,yes,yes,0
484,yes,yes,0
485,yes,yes,0
486,no,no,0
487,yes,yes,0
488,no,yes,1
489,no,yes,1
490,yes,yes,0
491,no,no,0
492,no,no,0
493,no,no,0
494,no,no,0
495,no,no,0
496,no,no,0
497,no,no,0
498,no,no,0
499,no,no,0
500,yes,no,1
501,no,no,0
502,no,no,0
503,no,no,0
504,no,no,0
505,yes,yes,0
506,no,no,0
